epoch,train_loss,train_ce_loss,train_supcon_loss,val_loss,val_top1,val_top5,lr,train_samples,val_samples,validated
1,4.838364492138292,4.831837798068316,0.0435113022322544,3.764162709771287,0.8656972901520159,0.9647058823529412,0.00025,38872,7565,True
2,3.161065926072625,3.1565449589363235,0.030139789072324136,,,,0.00025,38872,7565,False
3,1.9548221606595513,1.9510618181165793,0.025068952991202154,1.308625993426084,0.8955717118307998,0.9748843357567746,0.00025,38872,7565,True
4,1.344588894525902,1.3412123417245496,0.022510350024775652,,,,0.00024654934081934365,38872,7565,False
5,1.0063790832162884,1.0033692102357623,0.020065819641691823,,,,0.00023639790304631864,38872,7565,False
6,0.8357878351427578,0.8328536029849846,0.01956154678102822,0.8408206006114403,0.9082617316589557,0.9821546596166556,0.00022013565134531822,38872,7565,True
7,0.7093362597352787,0.7069434901389494,0.015951799506880037,,,,0.00019870768867432474,38872,7565,False
8,0.6247725245194538,0.6222168322302757,0.017037946720112,,,,0.00017335933033630108,38872,7565,False
9,0.5565120258676947,0.5540652310435815,0.01631196530741414,0.7660768399393015,0.9235955056179775,0.9826834104428288,0.0001455637307803196,38872,7565,True
10,0.5165287754091832,0.514926219963556,0.010683702275423944,,,,0.0001169362692196804,38872,7565,False
11,0.4776264170838345,0.4757671422483108,0.01239516630713541,,,,8.914066966369891e-05,38872,7565,False
12,0.4477315584114788,0.44632738730463595,0.00936113982315634,0.6874117450216158,0.9411764705882353,0.9862524785194977,6.379231132567526e-05,38872,7565,True
13,0.42616480512811483,0.4247069274623076,0.009719181299145153,,,,4.2364348654681734e-05,38872,7565,False
14,0.4109611222535814,0.4094715955524507,0.009930176883659754,,,,2.6102096953681366e-05,38872,7565,False
15,0.3973780924199637,0.3960600992207472,0.008786622118020716,0.6565912260571144,0.9520158625247852,0.9862524785194977,1.5950659180656326e-05,38872,7565,True
16,0.39124520267843216,0.38992219451428245,0.008820053270927445,0.6478458584024666,0.9534699272967614,0.9863846662260409,1.25e-05,38872,7565,True
